	Time [s]	Theta 1 (Bottom Pendulum) (Relative Rotation X) [°]	
572	0.21696	-1.3168	
573	0.21733	-1.3203	
574	0.21771	-1.3238	
575	0.21809	-1.3274	
576	0.21847	-1.3309	
577	0.21887	-1.3343	
578	0.21927	-1.3376	
579	0.21968	-1.3406	
580	0.2201	-1.3432	
581	0.22053	-1.3453	
582	0.22098	-1.3468	
583	0.22145	-1.3476	
584	0.22194	-1.3474	
585	0.22247	-1.3463	
586	0.22304	-1.3438	
587	0.22368	-1.3399	
588	0.22446	-1.3339	
589	0.22527	-1.3271	
590	0.22567	-1.3238	
591	0.22611	-1.3207	
592	0.22655	-1.3179	
593	0.227	-1.3158	
594	0.22723	-1.3151	
595	0.2275	-1.3145	
596	0.2278	-1.3143	
597	0.22813	-1.3146	
598	0.22847	-1.3154	
599	0.22883	-1.317	
600	0.2292	-1.3194	
601	0.22957	-1.3224	
602	0.22994	-1.3261	
603	0.23031	-1.3304	
604	0.2305	-1.3327	
605	0.23073	-1.3357	
606	0.23098	-1.3393	
607	0.23127	-1.3434	
608	0.23157	-1.348	
609	0.2319	-1.353	
610	0.23224	-1.3582	
611	0.23259	-1.3636	
612	0.23295	-1.369	
613	0.23332	-1.3743	
614	0.23371	-1.3795	
615	0.23411	-1.3845	
616	0.23453	-1.3891	
617	0.23499	-1.3933	
618	0.23548	-1.3971	
619	0.2361	-1.4004	
620	0.23675	-1.4025	
621	0.23708	-1.403	
622	0.23743	-1.4032	
623	0.2378	-1.4031	
624	0.23819	-1.4028	
625	0.23858	-1.4022	
626	0.23897	-1.4014	
627	0.23916	-1.401	
628	0.2394	-1.4005	
629	0.23966	-1.3999	
630	0.23995	-1.3992	
631	0.24025	-1.3986	
632	0.24057	-1.3981	
633	0.2409	-1.3976	
634	0.24124	-1.3973	
635	0.24158	-1.3971	
636	0.24193	-1.3972	
637	0.24228	-1.3975	
638	0.24263	-1.3981	
639	0.24298	-1.3989	
640	0.24333	-1.4001	
641	0.24369	-1.4015	
642	0.24404	-1.4031	
643	0.2444	-1.405	
644	0.24476	-1.4072	
645	0.24513	-1.4095	
646	0.24549	-1.412	
647	0.24586	-1.4147	
648	0.24624	-1.4174	
649	0.24662	-1.4202	
650	0.247	-1.423	
651	0.24739	-1.4256	
652	0.24779	-1.428	
653	0.2482	-1.4302	
654	0.24862	-1.432	
655	0.24906	-1.4332	
656	0.2495	-1.4339	
657	0.24997	-1.4337	
658	0.25046	-1.4327	
659	0.25099	-1.4303	
660	0.25155	-1.4268	
661	0.25219	-1.4216	
662	0.25295	-1.4142	
663	0.25376	-1.4057	
